x,y,z,dyn_prop,id,rcs,vx,vy,vx_comp,vy_comp,is_quality_valid,ambig_state,x_rms,y_rms,invalid_state,pdh0,vx_rms,vy_rms
2.0,5.5,0.0,4.0,0.0,-2.0,0.0,0.0,-0.6903466582298279,-1.8984529972076416,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0
2.0,5.699999809265137,0.0,4.0,1.0,-1.5,0.0,0.0,-0.6405419111251831,-1.8255445957183838,1.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0
4.599999904632568,5.300000190734863,0.0,1.0,2.0,9.0,6.75,0.25,0.01910528913140297,0.0220126174390316,1.0,3.0,19.0,19.0,10.0,3.0,18.0,3.0
5.0,5.099999904632568,0.0,1.0,3.0,-4.0,7.0,0.25,0.08423848450183868,0.08592324703931808,1.0,3.0,19.0,19.0,0.0,1.0,18.0,3.0
5.800000190734863,-8.100000381469727,0.0,0.0,4.0,2.0,9.0,0.0,0.09481211751699448,-0.13241001963615417,1.0,3.0,19.0,21.0,0.0,1.0,19.0,3.0
6.800000190734863,-7.900000095367432,0.0,1.0,5.0,-2.5,8.75,0.0,0.08034738898277283,-0.09334477037191391,1.0,3.0,20.0,20.0,10.0,3.0,18.0,3.0
6.599999904632568,-8.300000190734863,0.0,1.0,6.0,-3.5,8.75,0.0,0.04798883572220802,-0.06034959480166435,1.0,3.0,20.0,20.0,16.0,1.0,19.0,3.0
6.400000095367432,-9.300000190734863,0.0,0.0,7.0,10.0,9.0,0.0,0.07758249342441559,-0.11273706704378128,1.0,3.0,19.0,20.0,0.0,1.0,19.0,3.0
11.399999618530273,1.899999976158142,0.0,1.0,8.0,-1.0,7.75,0.25,0.12691038846969604,0.02115173079073429,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
9.800000190734863,-8.100000381469727,0.0,1.0,9.0,5.0,8.75,0.25,0.12433301657438278,-0.1027650460600853,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
13.199999809265137,4.900000095367432,0.0,1.0,10.0,4.5,7.5,0.25,0.061650846153497696,0.02288554050028324,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
13.199999809265137,5.900000095367432,0.0,1.0,11.0,-2.0,7.5,0.25,0.11702924221754074,0.05230852961540222,1.0,3.0,20.0,19.0,0.0,1.0,16.0,3.0
