SampleNo,Tx,Ty,Tz,Q11,Q12,Q21,Q22
1.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
2.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
3.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
4.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
5.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
6.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
7.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
8.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
9.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
10.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
11.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
12.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
13.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
14.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
15.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
16.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
17.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
18.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
19.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
20.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
21.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
22.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
23.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
24.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
25.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
26.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
27.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
28.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
29.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
30.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
31.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
32.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
33.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
34.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
35.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
36.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
37.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
38.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
39.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
40.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
41.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
42.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
43.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
44.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
45.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
46.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
47.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
48.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
49.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
50.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
51.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
52.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
53.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
54.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
55.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
56.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
57.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
58.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
59.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
60.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
61.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
62.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
63.0,2.422,-0.8,0.77,0.7010337393110511,0.0,0.0,-0.7131281065471795
