x,y,z,dyn_prop,id,rcs,vx,vy,vx_comp,vy_comp,is_quality_valid,ambig_state,x_rms,y_rms,invalid_state,pdh0,vx_rms,vy_rms
6.0,6.300000190734863,0.0,1.0,0.0,0.0,0.0,0.0,0.0009478095453232527,0.0009952000109478831,1.0,3.0,19.0,19.0,16.0,1.0,17.0,3.0
8.0,4.900000095367432,0.0,1.0,1.0,-1.5,0.0,0.0,0.00128270557615906,0.0007856571464799345,1.0,3.0,19.0,19.0,16.0,1.0,17.0,3.0
10.600000381469727,4.699999809265137,0.0,1.0,2.0,12.5,0.0,0.0,0.0014001879608258605,0.0006208379636518657,1.0,3.0,19.0,19.0,16.0,1.0,16.0,3.0
12.800000190734863,1.100000023841858,0.0,1.0,3.0,14.0,0.0,0.0,0.0014775721356272697,0.00012697884812951088,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
14.600000381469727,-1.899999976158142,0.0,1.0,4.0,2.0,0.0,0.0,0.0013525531394407153,-0.0001760171726346016,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
15.399999618530273,-2.9000000953674316,0.0,1.0,5.0,2.0,0.0,0.0,0.0012989661190658808,-0.0002446105354465544,1.0,3.0,19.0,19.0,11.0,3.0,16.0,3.0
16.0,-4.099999904632568,0.0,1.0,6.0,14.5,0.0,0.0,0.0012288035359233618,-0.00031488091917708516,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
17.0,-5.5,0.0,1.0,7.0,8.5,0.0,0.0,0.0011535550002008677,-0.0003732089535333216,1.0,3.0,19.0,19.0,11.0,3.0,16.0,3.0
17.799999237060547,-6.900000095367432,0.0,7.0,8.0,6.5,0.0,0.0,0.0010786761995404959,-0.00041813854477368295,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
18.799999237060547,-8.300000190734863,0.0,3.0,9.0,8.5,0.0,0.0,0.0010147987632080913,-0.00044802288175560534,1.0,3.0,19.0,19.0,9.0,3.0,16.0,3.0
19.799999237060547,-10.100000381469727,0.0,1.0,10.0,1.5,0.0,0.0,0.0009337436058558524,-0.0004763035394717008,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
21.0,-11.300000190734863,0.0,1.0,11.0,15.0,0.0,0.0,0.000901141029316932,-0.00048489970504306257,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
21.399999618530273,-12.699999809265137,0.0,1.0,12.0,5.5,0.0,0.0,0.0008379753562621772,-0.0004973031464032829,1.0,3.0,19.0,19.0,11.0,3.0,17.0,3.0
22.399999618530273,-13.699999809265137,0.0,1.0,13.0,4.5,0.0,0.0,0.000817728228867054,-0.0005001284298487008,1.0,3.0,19.0,19.0,9.0,3.0,17.0,3.0
25.799999237060547,-8.699999809265137,0.0,1.0,14.0,2.5,0.0,0.0,0.0011377676855772734,-0.0003836658434011042,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
24.600000381469727,13.300000190734863,0.0,1.0,15.0,10.5,0.0,0.0,0.001335861161351204,0.0007222339045256376,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
24.600000381469727,-16.100000381469727,0.0,1.0,16.0,12.0,0.0,0.0,0.0007709607598371804,-0.000504571886267513,1.0,3.0,19.0,19.0,16.0,1.0,17.0,3.0
