x,y,z,dyn_prop,id,rcs,vx,vy,vx_comp,vy_comp,is_quality_valid,ambig_state,x_rms,y_rms,invalid_state,pdh0,vx_rms,vy_rms
5.0,-7.699999809265137,0.0,2.0,0.0,2.0,13.25,0.0,0.20360182225704193,-0.3135467767715454,1.0,1.0,19.0,19.0,0.0,1.0,19.0,3.0
7.199999809265137,-6.099999904632568,0.0,2.0,1.0,-3.0,13.75,0.0,0.10134443640708923,-0.08586125075817108,1.0,1.0,19.0,19.0,0.0,1.0,17.0,3.0
10.199999809265137,-3.299999952316284,0.0,3.0,2.0,-1.0,14.75,0.5,0.22362935543060303,-0.07235067337751389,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
8.800000190734863,-7.699999809265137,0.0,3.0,3.0,0.0,14.25,0.25,0.2808813452720642,-0.24577116966247559,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
11.800000190734863,-3.299999952316284,0.0,3.0,4.0,-3.5,14.75,0.5,0.19000455737113953,-0.05313686281442642,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
7.800000190734863,-10.100000381469727,0.0,2.0,5.0,-4.5,13.0,0.0,0.029234513640403748,-0.03785495087504387,1.0,1.0,19.0,19.0,9.0,3.0,19.0,3.0
11.600000381469727,-7.699999809265137,0.0,1.0,6.0,-2.0,14.5,0.5,0.2250012457370758,-0.14935427904129028,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
13.199999809265137,-7.699999809265137,0.0,1.0,7.0,-5.0,14.75,0.5,0.37066397070884705,-0.21622063219547272,1.0,3.0,19.0,19.0,0.0,1.0,17.0,3.0
14.800000190734863,-7.699999809265137,0.0,1.0,8.0,0.0,14.75,0.5,0.3432554602622986,-0.17858558893203735,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
16.600000381469727,-7.699999809265137,0.0,1.0,9.0,-3.0,14.75,0.5,0.31430783867836,-0.1457933783531189,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
19.0,-7.099999904632568,0.0,1.0,10.0,11.5,14.75,0.75,0.17709980905056,-0.06617940217256546,1.0,3.0,19.0,19.0,0.0,1.0,16.0,3.0
